fpr,tpr
0.0,0.0
0.010101010101010102,0.0
0.20202020202020202,0.0
0.20202020202020202,0.07692307692307693
0.26262626262626265,0.07692307692307693
0.26262626262626265,0.23076923076923078
0.35353535353535354,0.23076923076923078
0.35353535353535354,0.3076923076923077
0.4444444444444444,0.3076923076923077
0.4444444444444444,0.38461538461538464
0.48484848484848486,0.38461538461538464
0.48484848484848486,0.46153846153846156
0.5252525252525253,0.46153846153846156
0.5252525252525253,0.5384615384615384
0.6565656565656566,0.5384615384615384
0.6565656565656566,0.6153846153846154
0.7171717171717171,0.6153846153846154
0.7171717171717171,0.6923076923076923
0.7272727272727273,0.6923076923076923
0.7272727272727273,0.8461538461538461
0.8484848484848485,0.8461538461538461
0.8484848484848485,0.9230769230769231
0.898989898989899,0.9230769230769231
0.898989898989899,1.0
1.0,1.0
