sex,variant,n_train,n_test,n_features_used,best_params,cv_best_auc,train_auc,test_auc,train_accuracy,test_accuracy,train_bal_acc,test_bal_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
M,tnpca,385,97,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 3, ""min_samples_leaf"": 50, ""outer_bags"": 16}",0.5965591397849461,0.9545376344086022,0.6255060728744939,0.8727272727272727,0.6907216494845361,0.900752688172043,0.5887314439946019,0.6120689655172413,0.2962962962962963,0.9466666666666667,0.42105263157894735,0.743455497382199,0.34782608695652173
F,tnpca,447,112,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 2, ""min_samples_leaf"": 100, ""outer_bags"": 16}",0.6195379746835442,0.9500251889168766,0.5796425796425797,0.8344519015659956,0.7232142857142857,0.87183879093199,0.5093240093240093,0.39655172413793105,0.125,0.92,0.23076923076923078,0.5542168674698796,0.16216216216216217
M,vae,385,97,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 3, ""min_samples_leaf"": 50, ""outer_bags"": 16}",0.6488172043010753,0.9885161290322582,0.6261808367071525,0.9194805194805195,0.7628865979381443,0.9449462365591398,0.6136977058029689,0.7115384615384616,0.3888888888888889,0.9866666666666667,0.3684210526315789,0.8268156424581006,0.37837837837837834
F,vae,447,112,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 2, ""min_samples_leaf"": 100, ""outer_bags"": 16}",0.6198955696202532,0.9714861460957178,0.452991452991453,0.8680089485458613,0.6607142857142857,0.9082115869017632,0.40714840714840717,0.45714285714285713,0.037037037037037035,0.96,0.07692307692307693,0.6193548387096774,0.05
M,pca,385,97,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 3, ""min_samples_leaf"": 50, ""outer_bags"": 16}",0.6496774193548387,0.9898924731182797,0.661268556005398,0.9298701298701298,0.7731958762886598,0.9513978494623656,0.6002024291497976,0.74,0.4,0.9866666666666667,0.3157894736842105,0.8457142857142858,0.35294117647058826
F,pca,447,112,86,"{""interactions"": 0, ""learning_rate"": 0.01, ""max_bins"": 32, ""max_leaves"": 2, ""min_samples_leaf"": 100, ""outer_bags"": 16}",0.566867088607595,0.9784886649874056,0.6425796425796426,0.8791946308724832,0.6875,0.9319899244332494,0.4891219891219891,0.4807692307692308,0.10714285714285714,1.0,0.23076923076923078,0.6493506493506493,0.14634146341463414
