fpr,tpr
0.0,0.0
0.010101010101010102,0.0
0.030303030303030304,0.0
0.030303030303030304,0.07692307692307693
0.050505050505050504,0.07692307692307693
0.050505050505050504,0.23076923076923078
0.1414141414141414,0.23076923076923078
0.1414141414141414,0.3076923076923077
0.23232323232323232,0.3076923076923077
0.23232323232323232,0.38461538461538464
0.24242424242424243,0.38461538461538464
0.24242424242424243,0.5384615384615384
0.3333333333333333,0.5384615384615384
0.3333333333333333,0.6153846153846154
0.37373737373737376,0.6153846153846154
0.37373737373737376,0.6923076923076923
0.48484848484848486,0.6923076923076923
0.48484848484848486,0.7692307692307693
0.7474747474747475,0.7692307692307693
0.7474747474747475,0.8461538461538461
0.7676767676767676,0.8461538461538461
0.7676767676767676,0.9230769230769231
0.8383838383838383,0.9230769230769231
0.8383838383838383,1.0
1.0,1.0
