fpr,tpr
0.0,0.0
0.00980392156862745,0.0
0.029411764705882353,0.0
0.029411764705882353,0.07692307692307693
0.08823529411764706,0.07692307692307693
0.08823529411764706,0.15384615384615385
0.09803921568627451,0.15384615384615385
0.09803921568627451,0.23076923076923078
0.22549019607843138,0.23076923076923078
0.22549019607843138,0.3076923076923077
0.3235294117647059,0.3076923076923077
0.3235294117647059,0.46153846153846156
0.4215686274509804,0.46153846153846156
0.4215686274509804,0.5384615384615384
0.5196078431372549,0.5384615384615384
0.5196078431372549,0.6153846153846154
0.6274509803921569,0.6153846153846154
0.6274509803921569,0.6923076923076923
0.696078431372549,0.6923076923076923
0.696078431372549,0.7692307692307693
0.7156862745098039,0.7692307692307693
0.7156862745098039,0.8461538461538461
0.8333333333333334,0.8461538461538461
0.8333333333333334,0.9230769230769231
0.9313725490196079,0.9230769230769231
0.9313725490196079,1.0
1.0,1.0
