fpr,tpr
0.0,0.0
0.0,0.05263157894736842
0.038461538461538464,0.05263157894736842
0.038461538461538464,0.21052631578947367
0.07692307692307693,0.21052631578947367
0.07692307692307693,0.3684210526315789
0.10256410256410256,0.3684210526315789
0.10256410256410256,0.42105263157894735
0.1794871794871795,0.42105263157894735
0.1794871794871795,0.5263157894736842
0.24358974358974358,0.5263157894736842
0.24358974358974358,0.5789473684210527
0.38461538461538464,0.5789473684210527
0.38461538461538464,0.631578947368421
0.41025641025641024,0.631578947368421
0.41025641025641024,0.6842105263157895
0.5128205128205128,0.6842105263157895
0.5128205128205128,0.7368421052631579
0.6538461538461539,0.7368421052631579
0.6538461538461539,0.7894736842105263
0.7564102564102564,0.7894736842105263
0.7564102564102564,0.8421052631578947
0.8076923076923077,0.8421052631578947
0.8076923076923077,0.8947368421052632
0.8717948717948718,0.8947368421052632
0.8717948717948718,0.9473684210526315
0.9615384615384616,0.9473684210526315
0.9615384615384616,1.0
1.0,1.0
