fpr,tpr
0.0,0.0
0.0,0.05263157894736842
0.0,0.15789473684210525
0.0641025641025641,0.15789473684210525
0.0641025641025641,0.2631578947368421
0.11538461538461539,0.2631578947368421
0.11538461538461539,0.3157894736842105
0.23076923076923078,0.3157894736842105
0.23076923076923078,0.3684210526315789
0.2564102564102564,0.3684210526315789
0.2564102564102564,0.47368421052631576
0.4358974358974359,0.47368421052631576
0.4358974358974359,0.7368421052631579
0.48717948717948717,0.7368421052631579
0.48717948717948717,0.7894736842105263
0.5256410256410257,0.7894736842105263
0.5256410256410257,0.8421052631578947
0.7564102564102564,0.8421052631578947
0.7564102564102564,0.8947368421052632
0.8205128205128205,0.8947368421052632
0.8205128205128205,0.9473684210526315
1.0,0.9473684210526315
1.0,1.0
