fpr,tpr
0.0,0.0
0.010101010101010102,0.0
0.0707070707070707,0.0
0.0707070707070707,0.07692307692307693
0.16161616161616163,0.07692307692307693
0.16161616161616163,0.15384615384615385
0.21212121212121213,0.15384615384615385
0.21212121212121213,0.23076923076923078
0.25252525252525254,0.23076923076923078
0.25252525252525254,0.3076923076923077
0.2828282828282828,0.3076923076923077
0.2828282828282828,0.38461538461538464
0.30303030303030304,0.38461538461538464
0.30303030303030304,0.46153846153846156
0.31313131313131315,0.46153846153846156
0.31313131313131315,0.6923076923076923
0.35353535353535354,0.6923076923076923
0.35353535353535354,0.7692307692307693
0.5656565656565656,0.7692307692307693
0.5656565656565656,0.8461538461538461
0.7474747474747475,0.8461538461538461
0.7474747474747475,0.9230769230769231
0.7575757575757576,0.9230769230769231
0.7575757575757576,1.0
1.0,1.0
