fpr,tpr
0.0,0.0
0.010101010101010102,0.0
0.08080808080808081,0.0
0.08080808080808081,0.07692307692307693
0.20202020202020202,0.07692307692307693
0.20202020202020202,0.15384615384615385
0.21212121212121213,0.15384615384615385
0.21212121212121213,0.23076923076923078
0.2727272727272727,0.23076923076923078
0.2727272727272727,0.3076923076923077
0.36363636363636365,0.3076923076923077
0.36363636363636365,0.38461538461538464
0.3939393939393939,0.38461538461538464
0.3939393939393939,0.46153846153846156
0.40404040404040403,0.46153846153846156
0.40404040404040403,0.5384615384615384
0.41414141414141414,0.5384615384615384
0.41414141414141414,0.6153846153846154
0.47474747474747475,0.6153846153846154
0.47474747474747475,0.7692307692307693
0.6161616161616161,0.7692307692307693
0.6161616161616161,0.8461538461538461
0.7474747474747475,0.8461538461538461
0.7474747474747475,0.9230769230769231
0.8080808080808081,0.9230769230769231
0.8080808080808081,1.0
1.0,1.0
