fpr,tpr
0.0,0.0
0.00980392156862745,0.0
0.06862745098039216,0.0
0.06862745098039216,0.07692307692307693
0.1568627450980392,0.07692307692307693
0.1568627450980392,0.15384615384615385
0.18627450980392157,0.15384615384615385
0.18627450980392157,0.23076923076923078
0.22549019607843138,0.23076923076923078
0.22549019607843138,0.3076923076923077
0.27450980392156865,0.3076923076923077
0.27450980392156865,0.38461538461538464
0.3333333333333333,0.38461538461538464
0.3333333333333333,0.46153846153846156
0.38235294117647056,0.46153846153846156
0.38235294117647056,0.5384615384615384
0.5588235294117647,0.5384615384615384
0.5588235294117647,0.6153846153846154
0.5882352941176471,0.6153846153846154
0.5882352941176471,0.6923076923076923
0.6862745098039216,0.6923076923076923
0.6862745098039216,0.7692307692307693
0.8431372549019608,0.7692307692307693
0.8431372549019608,0.8461538461538461
0.8823529411764706,0.8461538461538461
0.8823529411764706,0.9230769230769231
0.9607843137254902,0.9230769230769231
0.9607843137254902,1.0
1.0,1.0
