fpr,tpr
0.0,0.0
0.010101010101010102,0.0
0.12121212121212122,0.0
0.12121212121212122,0.07692307692307693
0.20202020202020202,0.07692307692307693
0.20202020202020202,0.15384615384615385
0.24242424242424243,0.15384615384615385
0.24242424242424243,0.23076923076923078
0.30303030303030304,0.23076923076923078
0.30303030303030304,0.3076923076923077
0.42424242424242425,0.3076923076923077
0.42424242424242425,0.38461538461538464
0.4444444444444444,0.38461538461538464
0.4444444444444444,0.46153846153846156
0.5555555555555556,0.46153846153846156
0.5555555555555556,0.5384615384615384
0.5656565656565656,0.5384615384615384
0.5656565656565656,0.6923076923076923
0.6060606060606061,0.6923076923076923
0.6060606060606061,0.7692307692307693
0.7171717171717171,0.7692307692307693
0.7171717171717171,0.8461538461538461
0.7777777777777778,0.8461538461538461
0.7777777777777778,1.0
1.0,1.0
