fpr,tpr
0.0,0.0
0.01282051282051282,0.0
0.01282051282051282,0.10526315789473684
0.05128205128205128,0.10526315789473684
0.05128205128205128,0.2631578947368421
0.15384615384615385,0.2631578947368421
0.15384615384615385,0.3157894736842105
0.1794871794871795,0.3157894736842105
0.1794871794871795,0.3684210526315789
0.2692307692307692,0.3684210526315789
0.2692307692307692,0.47368421052631576
0.28205128205128205,0.47368421052631576
0.28205128205128205,0.5263157894736842
0.38461538461538464,0.5263157894736842
0.38461538461538464,0.5789473684210527
0.3974358974358974,0.5789473684210527
0.3974358974358974,0.631578947368421
0.4230769230769231,0.631578947368421
0.4230769230769231,0.6842105263157895
0.7307692307692307,0.6842105263157895
0.7307692307692307,0.7368421052631579
0.7435897435897436,0.7368421052631579
0.7435897435897436,0.8421052631578947
0.7948717948717948,0.8421052631578947
0.7948717948717948,0.8947368421052632
0.8974358974358975,0.8947368421052632
0.8974358974358975,0.9473684210526315
0.9230769230769231,0.9473684210526315
0.9230769230769231,1.0
1.0,1.0
