fpr,tpr
0.0,0.0
0.00980392156862745,0.0
0.06862745098039216,0.0
0.06862745098039216,0.07692307692307693
0.0784313725490196,0.07692307692307693
0.0784313725490196,0.15384615384615385
0.12745098039215685,0.15384615384615385
0.12745098039215685,0.23076923076923078
0.13725490196078433,0.23076923076923078
0.13725490196078433,0.3076923076923077
0.29411764705882354,0.3076923076923077
0.29411764705882354,0.38461538461538464
0.43137254901960786,0.38461538461538464
0.43137254901960786,0.46153846153846156
0.45098039215686275,0.46153846153846156
0.45098039215686275,0.6153846153846154
0.6078431372549019,0.6153846153846154
0.6078431372549019,0.6923076923076923
0.6372549019607843,0.6923076923076923
0.6372549019607843,0.7692307692307693
0.6470588235294118,0.7692307692307693
0.6470588235294118,0.8461538461538461
0.8725490196078431,0.8461538461538461
0.8725490196078431,0.9230769230769231
1.0,0.9230769230769231
1.0,1.0
